"month","Region","avg_p"
1,"Alaska",0.0185399100576422
1,"Central",0.0306837570896258
1,"Hawaii",0.00128032340854136
1,"NorthRockies",0.016350315591512
1,"Northeast",0.0195351282679865
1,"Northwest",0.0135070704565933
1,"Other",0.00363135870331642
1,"South",0.0176358806971762
1,"Southeast",0.0116319802538777
1,"Southwest",0.0111883232337317
1,"UpperMidwest",0.0164109640253572
1,"West",0.00639861807619437
2,"Alaska",0.0136435441305171
2,"Central",0.028236216864976
2,"Hawaii",0.00140023553510107
2,"NorthRockies",0.0130363756512639
2,"Northeast",0.017700544970379
2,"Northwest",0.00498546080495595
2,"Other",0.00267802270193768
2,"South",0.0191296022054511
2,"Southeast",0.0119497096377574
2,"Southwest",0.00735332244668874
2,"UpperMidwest",0.0186015342896841
2,"West",0.00487200444438717
3,"Alaska",0.011904906417992
3,"Central",0.0170930375337509
3,"Hawaii",0.00121016190456697
3,"NorthRockies",0.00997206468933134
3,"Northeast",0.013692757241873
3,"Northwest",0.00421059905702053
3,"Other",0.00215225629397384
3,"South",0.0197998047911401
3,"Southeast",0.0111747461673014
3,"Southwest",0.00607861384001876
3,"UpperMidwest",0.0134606415061281
3,"West",0.00414184996091469
4,"Alaska",0.00518179687111206
4,"Central",0.0137458282633092
4,"Hawaii",0.000288013429646301
4,"NorthRockies",0.00721635596975884
4,"Northeast",0.010142480504697
4,"Northwest",0.00180975200303764
4,"Other",0.00275139425059057
4,"South",0.0194892386363351
4,"Southeast",0.0101769340498562
4,"Southwest",0.00543567560802671
4,"UpperMidwest",0.0101851434679523
4,"West",0.00302594271622515
5,"Alaska",0.00351003880670776
5,"Central",0.0161871943495833
5,"Hawaii",0.000549704316049383
5,"NorthRockies",0.00712502370410758
5,"Northeast",0.0116430848128991
5,"Northwest",0.0015194278121777
5,"Other",0.00418399506633781
5,"South",0.024625249373129
5,"Southeast",0.0125113295612216
5,"Southwest",0.00583180922241059
5,"UpperMidwest",0.0149572232705133
5,"West",0.00279054240142142
6,"Alaska",0.00321323707828105
6,"Central",0.0195526471973601
6,"Hawaii",0.00023361716906256
6,"NorthRockies",0.00829648314428757
6,"Northeast",0.0195193873351786
6,"Northwest",0.00209471939619879
6,"Other",0.00514723984381772
6,"South",0.0316908280326281
6,"Southeast",0.0244257640176686
6,"Southwest",0.00968438186670899
6,"UpperMidwest",0.0192817266741027
6,"West",0.00314983257240696
7,"Alaska",0.00454765319012137
7,"Central",0.0171758007210383
7,"Hawaii",0.000264255449222048
7,"NorthRockies",0.0074563625109578
7,"Northeast",0.0196566932378397
7,"Northwest",0.00202920659671637
7,"Other",0.00758354530005581
7,"South",0.0284166747118873
7,"Southeast",0.0245008650287887
7,"Southwest",0.0107290337770506
7,"UpperMidwest",0.0173663223955104
7,"West",0.00398942208924333
8,"Alaska",0.00669041460251829
8,"Central",0.0143462447626838
8,"Hawaii",0.00117916436363199
8,"NorthRockies",0.00713933683474747
8,"Northeast",0.0169493337470859
8,"Northwest",0.00229347300082375
8,"Other",0.00620477869259358
8,"South",0.0212358934947385
8,"Southeast",0.0196383646603501
8,"Southwest",0.0089974875742092
8,"UpperMidwest",0.012598855272239
8,"West",0.00380458227313788
9,"Alaska",0.00701844519792687
9,"Central",0.00799702682738199
9,"Hawaii",0.000129353875189481
9,"NorthRockies",0.00521227959902849
9,"Northeast",0.00852310967581237
9,"Northwest",0.00182590776440983
9,"Other",0.00395049185895949
9,"South",0.0122481107025089
9,"Southeast",0.0105122181430576
9,"Southwest",0.00444794402625174
9,"UpperMidwest",0.00962468098687353
9,"West",0.00278408676382767
10,"Alaska",0.00873962884490919
10,"Central",0.00780124344572132
10,"Hawaii",0.000531310421132547
10,"NorthRockies",0.00636868114937003
10,"Northeast",0.00922701194958174
10,"Northwest",0.00286964314324108
10,"Other",0.00505743614710863
10,"South",0.0145369304159398
10,"Southeast",0.00844353232311512
10,"Southwest",0.0051615832117168
10,"UpperMidwest",0.00906925402971759
10,"West",0.00427696650095065
11,"Alaska",0.0153724463250515
11,"Central",0.0107971716077878
11,"Hawaii",0.000883565320144341
11,"NorthRockies",0.00833702175518128
11,"Northeast",0.00920561171201896
11,"Northwest",0.00663078576543
11,"Other",0.00325025385879871
11,"South",0.0123869029902868
11,"Southeast",0.00760090749559703
11,"Southwest",0.00465002798612412
11,"UpperMidwest",0.0106283973554563
11,"West",0.00426690092361101
12,"Alaska",0.0178999625005215
12,"Central",0.0337204876522104
12,"Hawaii",0.00325184735744947
12,"NorthRockies",0.0205229517738496
12,"Northeast",0.0236296353060281
12,"Northwest",0.015044223547038
12,"Other",0.00325974370482196
12,"South",0.0233799548682304
12,"Southeast",0.0119984742540225
12,"Southwest",0.0135689582178475
12,"UpperMidwest",0.0218076084166048
12,"West",0.00729114591655196
